0 0 0
0.05 0 5.8656e-15
0.1 0 1.54892e-12
0.15 0 1.80288e-10
0.2 0 1.25428e-08
0.25 0 5.94903e-07
0.3 0 2.07569e-05
0.35 0 0.000560448
0.4 0 0.0121474
0.45 0 0.217359
0.5 0 3.28314
0.55 0 22.6306
0.6 0 42.6149
0.65 0 62.6141
0.7 0 82.6118
0.75 0 102.593
0.8 0 122.46
0.85 0 141.575
0.9 0 156.137
0.95 0 145.122
1 0 0.6106
0 0.0526316 0
0.05 0.0526316 4.51671e-11
0.1 0.0526316 1.06975e-08
0.15 0.0526316 1.10246e-06
0.2 0.0526316 6.68237e-05
0.25 0.0526316 0.00270448
0.3 0.0526316 0.0782881
0.35 0.0526316 1.68458
0.4 0.0526316 27.3267
0.45 0.0526316 326.951
0.5 0.0526316 2529.67
0.55 0.0526316 10100.3
0.6 0.0526316 18078.7
0.65 0.0526316 26076.5
0.7 0.0526316 34067
0.75 0.0526316 42004.1
0.8 0.0526316 49635.7
0.85 0.0526316 55756.1
0.9 0.0526316 55649.4
0.95 0.0526316 36585.3
1 0.0526316 0.605442
0 0.105263 0
0.05 0.105263 1.74188e-07
0.1 0.105263 3.702e-05
0.15 0.105263 0.0033806
0.2 0.105263 0.178756
0.25 0.105263 6.18722
0.3 0.105263 149.234
0.35 0.105263 2582.14
0.4 0.105263 32030.2
0.45 0.105263 273426
0.5 0.105263 1.46898e+06
0.55 0.105263 4.45551e+06
0.6 0.105263 7.63927e+06
0.65 0.105263 1.08353e+07
0.7 0.105263 1.40164e+07
0.75 0.105263 1.71122e+07
0.8 0.105263 1.98224e+07
0.85 0.105263 2.11228e+07
0.9 0.105263 1.86015e+07
0.95 0.105263 1.02315e+07
1 0.105263 0.600216
0 0.157895 0
0.05 0.157895 0.000450833
0.1 0.157895 0.0861226
0.15 0.157895 6.98541
0.2 0.157895 323.391
0.25 0.157895 9628.45
0.3 0.157895 195430
0.35 0.157895 2.76952e+06
0.4 0.157895 2.72793e+07
0.45 0.157895 1.80695e+08
0.5 0.157895 7.61334e+08
0.55 0.157895 1.94626e+09
0.6 0.157895 3.21635e+09
0.65 0.157895 4.49107e+09
0.7 0.157895 5.74633e+09
0.75 0.157895 6.91269e+09
0.8 0.157895 7.76251e+09
0.85 0.157895 7.75236e+09
0.9 0.157895 6.15968e+09
0.95 0.157895 3.06114e+09
1 0.157895 0.594921
0 0.210526 0
0.05 0.210526 0.88518
0.1 0.210526 152.401
0.15 0.210526 11020.8
0.2 0.210526 449160
0.25 0.210526 1.15997e+07
0.3 0.210526 2.00781e+08
0.35 0.210526 2.38271e+09
0.4 0.210526 1.93475e+10
0.45 0.210526 1.05183e+11
0.5 0.210526 3.71158e+11
0.55 0.210526 8.43129e+11
0.6 0.210526 1.34949e+12
0.65 0.210526 1.85583e+12
0.7 0.210526 2.34349e+12
0.75 0.210526 2.7617e+12
0.8 0.210526 2.98273e+12
0.85 0.210526 2.79379e+12
0.9 0.210526 2.0515e+12
0.95 0.210526 9.569e+11
1 0.210526 0.589556
0 0.263158 0
0.05 0.263158 1412.42
0.1 0.263158 219932
0.15 0.263158 1.42474e+07
0.2 0.263158 5.14603e+08
0.25 0.263158 1.16393e+10
0.3 0.263158 1.74278e+11
0.35 0.263158 1.76899e+12
0.4 0.263158 1.22036e+13
0.45 0.263158 5.65796e+13
0.5 0.263158 1.74183e+14
0.55 0.263158 3.62633e+14
0.6 0.263158 5.64222e+14
0.65 0.263158 7.63943e+14
0.7 0.263158 9.49257e+14
0.75 0.263158 1.09023e+15
0.8 0.263158 1.12869e+15
0.85 0.263158 9.97653e+14
0.9 0.263158 6.89749e+14
0.95 0.263158 3.08214e+14
1 0.263158 0.58412
0 0.315789 0
0.05 0.315789 1.91493e+06
0.1 0.315789 2.7077e+08
0.15 0.315789 1.57974e+10
0.2 0.315789 5.09336e+11
0.25 0.315789 1.01896e+13
0.3 0.315789 1.33786e+14
0.35 0.315789 1.183e+15
0.4 0.315789 7.0982e+15
0.45 0.315789 2.88466e+16
0.5 0.315789 7.96496e+16
0.55 0.315789 1.54981e+17
0.6 0.315789 2.3502e+17
0.65 0.315789 3.13005e+17
0.7 0.315789 3.81527e+17
0.75 0.315789 4.25526e+17
0.8 0.315789 4.22282e+17
0.85 0.315789 3.54887e+17
0.9 0.315789 2.34146e+17
0.95 0.315789 1.01442e+17
1 0.315789 0.578611
0 0.368421 0
0.05 0.368421 2.27601e+09
0.1 0.368421 2.93511e+11
0.15 0.368421 1.55082e+13
0.2 0.368421 4.49572e+14
0.25 0.368421 8.03047e+15
0.3 0.368421 9.35881e+16
0.35 0.368421 7.3209e+17
0.4 0.368421 3.89175e+18
0.45 0.368421 1.41502e+19
0.5 0.368421 3.57404e+19
0.55 0.368421 6.58522e+19
0.6 0.368421 9.74963e+19
0.65 0.368421 1.27554e+20
0.7 0.368421 1.52104e+20
0.75 0.368421 1.64431e+20
0.8 0.368421 1.56725e+20
0.85 0.368421 1.26124e+20
0.9 0.368421 8.01848e+19
0.95 0.368421 3.39364e+19
1 0.368421 0.57303
0 0.421053 0
0.05 0.421053 2.42688e+12
0.1 0.421053 2.86693e+14
0.15 0.421053 1.37943e+16
0.2 0.421053 3.6204e+17
0.25 0.421053 5.82425e+18
0.3 0.421053 6.0895e+19
0.35 0.421053 4.26837e+20
0.4 0.421053 2.04018e+21
0.45 0.421053 6.74244e+21
0.5 0.421053 1.58071e+22
0.55 0.421053 2.78289e+22
0.6 0.421053 4.02664e+22
0.65 0.421053 5.16748e+22
